01,"Программа обработки приказа BD01 обнаружила ошибку","Помеха при передаче данных по петле связи. Не требует никаких действий при однократном появлении. При повторном появлении в течение 1 часа, связаться с сервисным центром, перед этим проверив кабели петли связи, надежность контакта в клеммах.
"
02,"Неполная телеграмма приказа","Помеха при передаче данных по петле связи. Не требует никаких действий при однократном появлении. При повторном появлении в течение 1 часа, связаться с сервисным центром, перед этим проверив кабели петли связи, надежность контакта в клеммах.
"
03,"Неправильная длина телеграммы приказа (ML)","Помеха при передаче данных по петле связи. Не требует никаких действий при однократном появлении. При повторном появлении в течение 1 часа, связаться с сервисным центром, перед этим проверив кабели петли связи, надежность контакта в клеммах.
"
04,"Программа обработки приказа и проверки передачи BD01 обнаружила ошибку","Помеха при передаче данных по петле связи. Не требует никаких действий при однократном появлении. При повторном появлении в течение 1 часа, связаться с сервисным центром, перед этим проверив кабели петли связи, надежность контакта в клеммах.
"
05,"Программа подготовки телеграммы статуса AD03 обнаружила ошибку","Сбой/неисправность в ОК При повторном появлении в течение 1 часа, связаться с сервисным центром.
"
06,"Программа подготовки телеграммы статуса BD03 обнаружила ошибку","Сбой/неисправность в ОК При повторном появлении в течение 1 часа, связаться с сервисным центром.
"
07,"Программа системной синхронизации AD07 обнаружила ошибку","Нет объяснения
"
08,"Программа системной синхронизации BD07 обнаружила ошибку","Нет объяснения
"
09,"Программа связи с концентратором CD08 обнаружила ошибку","Нет объяснения
"
0A,"Ошибка синхронизации системного таймера (обнаружена программой AD07)","Обычно передается в течение нескольких циклов после перезапуска контроллера. Вмешательство не требуется.
"
0B,"Ошибка синхронизации системного таймера (обнаружена программой BD07)","Обычно передается в течение нескольких циклов после перезапуска контроллера. Вмешательство не требуется.
"
0C,"Неправильная проверочная сумма (CRC8)","Помеха при передаче. При повторном появлении в течение 1 часа, связаться с сервисным центром.
"
0D,"Неверный адрес приказа A/BD01","Смотри коды 01 … 04
"
0E,"Неправильный номер последовательности (CTA, CTB)","Номер последовательности в телеграмме приказа не соответствует ожидаемому. 
"
0F,"Неправильное значение приказа (ошибка кода Хеминга)","Разные значения приказа в частях А и В телеграммы. Смотри коды 01-04
"
10,"Отсутствует приказ после получения предварительного (отпирающего) при-каза для стрелочного контроллера.","Вероятно, по какой-либо причине временно увеличилось время цикла передачи. Не требует вмешательства при однократном появлении. При повторном появлении в течение 1 часа, связаться с сервисным центром.
"
12,"Неправильный приказ для стрелочного ОК в режиме центрального или местного управления.","При повторном появлении в течение 1 часа – связаться с сервисным центром.
"
14,"Программа управления электродвигателем CD17 обнаружила ошибку","Старт электропривода прерван. Возможно появление в случае многократного перевода стрелки без перерыва. При повторном появлении в течение 1 часа, заменить плату МОТ1 или связаться с сервисным центром.
"
15,"Программа обработки приказа BD01 обнаружила ошибку","Смотри код 01.
"
16,"Программа обработки приказа и проверки передачи BD02 обнаружила ошибку","Смотри код 04
"
17,"Неправильная команда C-типа обнаружена программой CD21","Принята неправильная команда из серии День/Ночь/ДСН. При повторном появлении в течение 1 часа, связаться с сервисным центром.
"
18,"Программа CD21 обнаружила ошибку","При повторном появлении в течение 1 часа – связаться с  сервисным центром.
"
